sample_name,abdominal,caudal,img_name,crosses,plates,wells
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD2_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD2,13,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D02.tif,95-1_Female_x_72-1_Male,plate1,D2
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD3_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD3,13,17,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D03.tif,95-1_Female_x_72-1_Male,plate1,D3
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD4_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD4,13,17,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D04.tif,95-1_Female_x_72-1_Male,plate1,D4
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD6_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD6,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D06.tif,95-1_Female_x_72-1_Male,plate1,D6
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD7_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD7,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D07.tif,95-1_Female_x_72-1_Male,plate1,D7
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD9_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCD9,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_D09.tif,95-1_Female_x_72-1_Male,plate1,D9
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE1_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE1,12,18,PLATE 1 F2 VC_Female 95-1 F14 x Male 72-1 F14_E01.tif,95-1_Female_x_72-1_Male,plate1,E1
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE10_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE10,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E10.tif,95-1_Female_x_129-1_Male,plate1,E10
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE11_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE11,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E11.tif,95-1_Female_x_129-1_Male,plate1,E11
AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE12_AAAVWMLHV_Pool1-4F2_VC_22s004612-1-1_Loosli_lane1Plate1F2VCE12,12,19,PLATE 1 F2 VC_Female 95-1 F14 x Male 129-1 F14_E12.tif,95-1_Female_x_129-1_Male,plate1,E12
